driverId,week,hours-logged,miles-logged
108,7,52,1200
58,44,77,3600
21,50,68,3700
33,12,67,200
56,1,76,0
73,46,75,400
13,10,65,2000
95,7,52,700
11,45,63,1600
53,5,75,2000
21,32,71,1700
37,13,63,1400
63,51,68,3100
58,52,73,3400
36,10,59,600
104,35,66,4000
70,9,59,100
43,37,69,2800
37,37,73,2300
93,20,73,3700
68,38,67,4000
42,25,79,3500
61,49,70,2000
104,11,65,1900
95,35,63,1000
99,2,74,3400
63,51,50,2100
39,51,66,200
88,37,77,400
26,48,70,2000
43,43,78,2200
62,1,80,3600
17,31,57,3100
72,2,75,2900
73,13,68,1000
77,18,60,2100
23,5,65,3900
63,45,79,1700
81,28,59,4000
19,52,61,600
71,3,78,1000
68,47,54,2600
53,9,51,1600
103,6,63,2600
42,47,69,3700
90,18,62,400
74,33,59,3600
23,11,59,2200
36,44,61,3500
84,9,62,700
97,40,71,1100
66,6,60,700
74,21,69,3900
25,31,59,400
90,40,51,400
47,15,75,2200
77,49,71,1200
38,39,72,3300
91,2,52,1700
40,27,52,1900
108,12,69,2700
77,10,80,300
56,10,80,3100
52,50,79,3100
25,44,57,2600
102,38,52,2300
102,34,65,3200
31,31,60,1000
11,25,68,0
73,3,62,1100
40,50,79,3900
20,13,80,2500
84,15,71,400
41,37,79,1600
20,21,71,200
14,46,68,300
95,33,67,3600
105,51,76,100
79,9,75,200
52,48,51,700
61,24,75,2600
37,40,63,3800
89,32,71,2500
85,36,62,2200
38,44,80,3200
39,45,79,500
98,17,63,700
43,6,50,2100
63,21,58,300
84,32,54,1000
83,11,70,2600
55,39,76,100
83,27,54,2300
19,45,55,1700
53,23,56,3400
11,47,57,3400
61,22,52,4000
78,6,55,900
100,40,64,3800
23,42,77,500
38,7,54,700
104,20,74,2800
78,6,73,3800
64,24,63,900
38,30,71,2500
102,40,63,3800
20,20,66,300
88,8,66,2400
48,51,69,3200
38,49,56,3900
51,17,75,3400
38,35,79,2900
106,6,79,2300
58,49,77,1100
14,6,79,2900
107,44,55,1100
11,11,50,1900
48,23,62,100
75,30,60,2400
70,45,56,2100
46,24,77,3700
81,30,60,2800
14,1,56,3600
108,27,66,1900
61,1,51,0
101,22,55,3500
60,6,79,2000
87,20,74,3700
72,41,67,1400
74,35,60,3000
100,29,75,2900
65,46,60,2300
67,30,66,1400
33,17,50,2200
60,16,57,2600
12,28,64,1000
41,24,52,1400
44,21,68,3500
63,15,54,2100
107,33,79,1600
51,49,62,2800
63,1,77,100
79,43,60,3000
98,36,65,3800
93,49,74,2700
84,31,76,3100
90,26,66,2200
54,42,70,700
78,50,52,700
13,41,74,4000
25,37,71,3800
65,8,72,3800
103,40,77,3000
93,32,60,100
19,34,66,1800
17,42,67,2100
14,5,65,1300
67,33,54,1200
43,2,68,3700
49,52,56,1900
56,34,65,1500
61,29,71,200
50,14,76,3000
76,39,63,100
10,24,50,400
80,51,74,1900
12,27,50,3100
60,35,59,3000
38,49,73,2300
92,44,62,3000
38,30,76,200
75,1,74,1100
83,29,66,3000
62,29,51,3000
69,41,55,1300
108,9,78,3300
45,37,53,1700
77,15,72,1200
39,26,80,2600
24,44,77,2900
82,12,73,300
85,44,69,2500
66,5,70,1200
